sku,platforms,note
1060,"Depop,Vinted",appears on multiple platforms — review for relist/oversell
1134,"Depop,Vinted",appears on multiple platforms — review for relist/oversell
1136,"Depop,Vinted",appears on multiple platforms — review for relist/oversell
1219,"Depop,Vinted",appears on multiple platforms — review for relist/oversell
123,"Depop,Vinted",appears on multiple platforms — review for relist/oversell
183,"Depop,Vinted",appears on multiple platforms — review for relist/oversell
255,"Depop,Vinted",appears on multiple platforms — review for relist/oversell
317,"Depop,Vinted",appears on multiple platforms — review for relist/oversell
4,"Depop,Vinted",appears on multiple platforms — review for relist/oversell
407,"Depop,Vinted",appears on multiple platforms — review for relist/oversell
501,"Depop,Vinted",appears on multiple platforms — review for relist/oversell
652,"Depop,Vinted",appears on multiple platforms — review for relist/oversell
746,"Depop,Vinted",appears on multiple platforms — review for relist/oversell
818,"Depop,Vinted",appears on multiple platforms — review for relist/oversell
826,"Depop,Vinted",appears on multiple platforms — review for relist/oversell
836,"Depop,Vinted",appears on multiple platforms — review for relist/oversell
946,"Depop,Vinted",appears on multiple platforms — review for relist/oversell
963,"Depop,Vinted",appears on multiple platforms — review for relist/oversell
978,"Depop,Vinted",appears on multiple platforms — review for relist/oversell
