detected_at,sold_date,sold_time,sku,title,sold_on,delist_from,status
2026-06-18 07:25,2026-06-18,06:47,945,945 Patagonia Trucker Hat,Vinted,Depop,pending
2026-06-18 16:49,2026-06-18,14:14,657,657 Vintage Ford Trucker Hat,Vinted,Depop,pending
2026-06-18 21:41,2026-06-18,20:47,,Real Tree Camo Baseball Hat,Vinted,Depop,pending
2026-06-18 21:41,2026-06-18,21:07,1152,1152 Vintage Cord Trucker Hat,Vinted,Depop,pending
2026-06-18 23:34,2026-06-18,22:27,1155,1155 Real Tree Camo Baseball Hat,Vinted,Depop,pending
2026-06-19 11:04,2026-06-19,07:22,1256,1256 Weatherby Camo Baseball Hat,Vinted,Depop,pending
2026-06-19 17:33,2026-06-19,16:12,,Vintage Striped Rugby Shirt Compaq Tools Sponsor,Depop,Vinted,pending
2026-06-20 10:34,2026-06-20,09:55,1272,1272 Fitzgeralds Garage Wrecker Trucker Hat,Vinted,Depop,pending
2026-06-20 10:34,2026-06-20,10:28,1257,1257 Realtree Camo Baseball Hat,Vinted,Depop,pending
2026-06-20 17:54,2026-06-20,17:35,,Nike ACG Puffer Jacket Gilet Removable Sleeves,Depop,Vinted,pending
2026-06-20 22:18,2026-06-20,21:08,1284,1284 RealTree Texas Camo Baseball Hat Symank,Depop,Vinted,pending
2026-06-20 23:38,2026-06-20,22:49,,Lee Storm Rider Denim Jacket Rugged Wear,Depop,Vinted,pending
2026-06-21 03:08,2026-06-21,01:05,1156,1156 Real Tree Camo Trucker Hat Signatures,Depop,Vinted,pending
2026-06-21 03:08,2026-06-21,02:05,,Vintage Striped Polo Shirt 70s 80s Colourblock,Depop,Vinted,pending
2026-06-21 17:51,2026-06-21,17:50,1328,1328 Master Bait Realtree Camo Trucker Hat,Depop,Vinted,pending
2026-06-21 19:15,2026-06-21,18:13,,Real Tree Sling Side Bag Hunting Camo,Depop,Vinted,pending
2026-06-21 20:04,2026-06-21,19:31,1332,1332 Realtree Camo Baseball Hat Winchester Rifle,Depop,Vinted,pending
2026-06-21 20:04,2026-06-21,19:30,36,36 MLB New York Mets Baseball Hat,Vinted,Depop,pending
2026-06-21 20:04,2026-06-21,19:39,1283,1283 I Love Jesus Realtree Camo Baseball Hat,Vinted,Depop,pending
2026-06-21 21:06,2026-06-21,20:32,1325,1325 Cinema City Video Store Trucker Hat,Vinted,Depop,pending
